Afganistán,"N33°0'0"" E65°0'0"""
Albania,"N41°19'60"" E19°49'0"""
Alemania,"N51°0'0"" E9°0'0"""
Andorra,"N42°30'0"" E1°36'0"""
Angola,"S12°30'0"" E18°30'0"""
Anguila,"N18°15'0"" O63°10'0.12"""
Antigua y Barbuda,"N17°3'0"" O61°48'0"""
Antillas Neerlandesas,"N12°15'0"" O68°45'0"""
Arabia Saudita,"N25°0'0"" E45°0'0"""
Argelia,"N28°0'0"" E3°0'0"""
Argentina,"S34°0'0"" O64°0'0"""
Armenia,"N40°0'0"" E45°0'0"""
Aruba,"N12°30'0"" O69°58'0.12"""
Australia,"S27°0'0"" E133°0'0"""
Austria,"N47°19'59.88"" E13°19'59.88"""
Azerbaiyán,"N40°30'0"" E47°30'0"""
Bahamas,"N24°15'0"" O76°0'0"""
Bangladés,"N24°0'0"" E90°0'0"""
Barbados,"N13°10'0.12"" O59°31'59.88"""
Baréin,"N26°0'0"" E50°33'0"""
Bélgica,"N50°49'59.88"" E4°0'0"""
Belice,"N17°15'0"" O88°45'0"""
Benín,"N9°30'0"" E2°15'0"""
Bermudas,"N32°19'59.88"" O64°45'0"""
Bielorrusia,"N53°0'0"" E28°0'0"""
Birmania,"N22°0'0"" E98°0'0"""
Bolivia,"S17°0'0"" O65°0'0"""
Bosnia y Herzegovina,"N44°0'0"" E18°0'0"""
Botsuana,"S22°0'0"" E24°0'0"""
Brasil,"S10°0'0"" O55°0'0"""
Brunéi,"N4°30'0"" E114°40'0.12"""
Bulgaria,"N43°0'0"" E25°0'0"""
Burkina Faso,"N13°0'0"" O2°0'0"""
Burundi,"S3°30'0"" E30°0'0"""
Bután,"N27°30'0"" E90°30'0"""
Cabo Verde,"N16°0'0"" O24°0'0"""
Camboya,"N13°0'0"" E105°0'0"""
Camerún,"N6°0'0"" E12°0'0"""
Canadá,"N60°0'0"" O95°0'0"""
Catar,"N25°30'0"" E51°15'0"""
Chad,"N15°0'0"" E19°0'0"""
Chile,"S30°0'0"" O71°0'0"""
China,"N35°0'0"" E105°0'0"""
Chipre,"N35°0'0"" E33°0'0"""
Ciudad del Vaticano,"N41°54'0"" E12°27'0"""
Colombia,"N4°0'0"" O72°0'0"""
Comoras,"S12°10'0.12"" E44°15'0"""
Corea del Norte,"N40°0'0"" E127°0'0"""
Corea del Sur,"N37°0'0"" E127°30'0"""
Costa de Marfil,"N8°0'0"" O5°0'0"""
Costa Rica,"N10°0'0"" O84°0'0"""
Croacia,"N45°10'0.12"" E15°30'0"""
Cuba,"N21°30'0"" O80°0'0"""
Dinamarca,"N56°0'0"" E10°0'0"""
Dominica,"N15°25'0.12"" O61°19'59.88"""
Ecuador,"S2°0'0"" O77°30'0"""
Egipto,"N27°0'0"" E30°0'0"""
El Salvador,"N13°49'59.88"" O88°55'0.12"""
Emiratos Árabes Unidos,"N24°0'0"" E54°0'0"""
Eritrea,"N15°0'0"" E39°0'0"""
Eslovaquia,"N48°40'0.12"" E19°30'0"""
Eslovenia,"N46°0'0"" E15°0'0"""
España,"N40°0'0"" O4°0'0"""
Estado de Palestina,"N32°0'0"" E35°15'0"""
Estados Unidos,"N38°0'0"" O97°0'0"""
Estonia,"N59°0'0"" E26°0'0"""
Etiopía,"N8°0'0"" E38°0'0"""
Filipinas,"N13°0'0"" E122°0'0"""
Finlandia,"N64°0'0"" E26°0'0"""
Fiyi,"S18°0'0"" E175°0'0"""
Francia,"N46°0'0"" E2°0'0"""
Gabón,"S1°0'0"" E11°45'0"""
Gambia,"N13°28'0.12"" O16°34'0.12"""
Georgia,"N42°0'0"" E43°30'0"""
Ghana,"N8°0'0"" O2°0'0"""
Gibraltar,"N36°10'59.88"" O5°22'0.12"""
Granada,"N12°7'0.12"" O61°40'0.12"""
Grecia,"N39°0'0"" E22°0'0"""
Groenlandia,"N72°0'0"" O40°0'0"""
Guadalupe,"N16°15'0"" O61°34'59.88"""
Guam,"N13°28'0.12"" E144°46'59.88"""
Guatemala,"N15°30'0"" O90°15'0"""
Guayana Francesa,"N4°0'0"" O53°0'0"""
Guernsey,"N49°30'0"" O2°33'36"""
Guinea,"N11°0'0"" O10°0'0"""
Guinea-Bisáu,"N12°0'0"" O15°0'0"""
Guinea Ecuatorial,"N2°0'0"" E10°0'0"""
Guyana,"N5°0'0"" O59°0'0"""
Haití,"N19°0'0"" O72°25'0.12"""
Honduras,"N15°0'0"" O86°30'0"""
Hong Kong,"N22°15'0"" E114°10'0.12"""
Hungría,"N47°0'0"" E20°0'0"""
India,"N20°0'0"" E77°0'0"""
Indonesia,"S5°0'0"" E120°0'0"""
Irak,"N33°0'0"" E44°0'0"""
Irán,"N32°0'0"" E53°0'0"""
Irlanda,"N53°0'0"" O8°0'0"""
Isla Bouvet,"S54°25'59.88"" E3°24'0"""
Isla de Man,"N54°13'48"" O4°33'0"""
Isla de Navidad,"S10°30'0"" E105°40'0.12"""
Islandia,"N65°0'0"" O18°0'0"""
Islas Caimán,"N19°30'0"" O80°30'0"""
Islas Cocos,"S12°30'0"" E96°49'59.88"""
Islas Cook,"S21°13'59.88"" O159°46'0.12"""
Islas Feroe,"N62°0'0"" O7°0'0"""
Islas Georgias del Sur y Sandwich del Sur,"S54°30'0"" O37°0'0"""
Islas Heard y McDonald,"S53°6'0"" E72°31'0.12"""
Islas Malvinas,"S51°45'0"" O59°0'0"""
Islas Marianas del Norte,"N15°12'0"" E145°45'0"""
Islas Marshall,"N9°0'0"" E168°0'0"""
Islas Pitcairn,"S24°42'0"" O127°24'0"""
Islas Salomón,"S8°0'0"" E159°0'0"""
Islas Turcas y Caicos,"N21°45'0"" O71°34'59.88"""
Islas Vírgenes Británicas,"N18°30'0"" O64°30'0"""
Islas Vírgenes de los Estados Unidos,"N18°19'59.88"" O64°49'59.88"""
Israel,"N31°30'0"" E34°45'0"""
Italia,"N42°49'59.88"" E12°49'59.88"""
Jamaica,"N18°15'0"" O77°30'0"""
Japón,"N36°0'0"" E138°0'0"""
Jersey,"N49°12'36"" O2°7'48"""
Jordania,"N31°0'0"" E36°0'0"""
Kazajistán,"N48°0'0"" E68°0'0"""
Kenia,"N1°0'0"" E38°0'0"""
Kirguistán,"N41°0'0"" E75°0'0"""
Kiribati,"N1°25'0.12"" E173°0'0"""
Kuwait,"N29°20'15"" E47°39'29.16"""
Laos,"N18°0'0"" E105°0'0"""
Lesoto,"S29°30'0"" E28°30'0"""
Letonia,"N57°0'0"" E25°0'0"""
Líbano,"N33°49'59.88"" E35°49'59.88"""
Liberia,"N6°30'0"" O9°30'0"""
Libia,"N25°0'0"" E17°0'0"""
Liechtenstein,"N47°10'0.12"" E9°31'59.88"""
Lituania,"N56°0'0"" E24°0'0"""
Luxemburgo,"N49°45'0"" E6°10'0.12"""
Macao,"N22°10'0.12"" E113°33'0"""
Madagascar,"S20°0'0"" E47°0'0"""
Malasia,"N2°30'0"" E112°30'0"""
Malaui,"S13°30'0"" E34°0'0"""
Maldivas,"N3°15'0"" E73°0'0"""
Malí,"N17°0'0"" O4°0'0"""
Malta,"N35°49'59.88"" E14°34'59.88"""
Marruecos,"N32°0'0"" O5°0'0"""
Martinica,"N14°40'0.12"" O61°0'0"""
Mauricio,"S20°16'59.88"" E57°33'0"""
Mauritania,"N20°0'0"" O12°0'0"""
Mayotte,"S12°49'59.88"" E45°10'0.12"""
México,"N23°0'0"" O102°0'0"""
Micronesia,"N6°55'0.12"" E158°15'0"""
Moldavia,"N47°0'0"" E29°0'0"""
Mónaco,"N43°43'59.88"" E7°24'0"""
Mongolia,"N46°0'0"" E105°0'0"""
Montenegro,"N42°0'0"" E19°0'0"""
Montserrat,"N16°45'0"" O62°12'0"""
Mozambique,"S18°15'0"" E35°0'0"""
Namibia,"S22°0'0"" E17°0'0"""
Nauru,"S0°31'59.88"" E166°55'0.12"""
Nepal,"N28°0'0"" E84°0'0"""
Nicaragua,"N13°0'0"" O85°0'0"""
Níger,"N16°0'0"" E8°0'0"""
Nigeria,"N10°0'0"" E8°0'0"""
Niue,"S19°1'59.88"" O169°52'0.12"""
Norfolk,"S29°1'59.88"" E167°57'0"""
Noruega,"N62°0'0"" E10°0'0"""
Nueva Caledonia,"S21°30'0"" E165°30'0"""
Nueva Zelanda,"S41°0'0"" E174°0'0"""
Omán,"N21°0'0"" E57°0'0"""
Países Bajos,"N52°30'0"" E5°45'0"""
Pakistán,"N30°0'0"" E70°0'0"""
Palaos,"N7°30'0"" E134°30'0"""
Panamá,"N9°0'0"" O80°0'0"""
Papúa Nueva Guinea,"S6°0'0"" E147°0'0"""
Paraguay,"S23°0'0"" O58°0'0"""
Perú,"S10°0'0"" O76°0'0"""
Polinesia Francesa,"S15°0'0"" O140°0'0"""
Polonia,"N52°0'0"" E20°0'0"""
Portugal,"N39°30'0"" O8°0'0"""
Puerto Rico,"N18°15'0"" O66°30'0"""
Reino Unido,"N54°0'0"" O2°0'0"""
República Democrática del Congo,"N0°0'0"" E25°0'0"""
República Árabe Saharaui Democrática,"N24°30'0"" O13°0'0"""
República Centroafricana,"N7°0'0"" E21°0'0"""
República Checa,"N49°45'0"" E15°30'0"""
República de Macedonia,"N41°49'59.88"" E22°0'0"""
República del Congo,"S1°0'0"" E15°0'0"""
República Dominicana,"N19°0'0"" O70°40'0.12"""
Reunión,"S21°6'0"" E55°36'0"""
Ruanda,"S2°0'0"" E30°0'0"""
Rumania,"N46°0'0"" E25°0'0"""
Rusia,"N60°0'0"" E100°0'0"""
Samoa,"S13°34'59.88"" O172°19'59.88"""
Samoa Americana,"S14°19'59.88"" O170°0'0"""
San Cristóbal y Nieves,"N17°19'59.88"" O62°45'0"""
San Marino,"N43°46'0.12"" E12°25'0.12"""
San Pedro y Miquelón,"N46°49'59.88"" O56°19'59.88"""
San Vicente y las Granadinas,"N13°15'0"" O61°12'0"""
Santa Lucía,"N13°52'59.88"" O61°7'59.88"""
Santo Tomé y Príncipe,"N1°0'0"" E7°0'0"""
Senegal,"N14°0'0"" O14°0'0"""
Serbia,"N44°0'0"" E21°0'0"""
Seychelles,"S4°34'59.88"" E55°40'0.12"""
Sierra Leona,"N8°30'0"" O11°30'0"""
Singapur,"N1°22'0.12"" E103°48'0"""
Siria,"N35°0'0"" E38°0'0"""
Somalia,"N10°0'0"" E49°0'0"""
Sri Lanka,"N7°0'0"" E81°0'0"""
Suazilandia,"S26°30'0"" E31°30'0"""
Sudáfrica,"S29°0'0"" E24°0'0"""
Sudán,"N15°0'0"" E30°0'0"""
Suecia,"N62°0'0"" E15°0'0"""
Suiza,"N47°0'0"" E8°0'0"""
Surinam,"N4°0'0"" O56°0'0"""
Svalbard y Jan Mayen,"N78°0'0"" E20°0'0"""
Tailandia,"N15°0'0"" E100°0'0"""
Taiwán,"N23°30'0"" E121°0'0"""
Tanzania,"S6°0'0"" E35°0'0"""
Tayikistán,"N39°0'0"" E71°0'0"""
Territorio Británico del Océano Índico,"S6°0'0"" E71°30'0"""
Territorios Australes Franceses,"S43°0'0"" E67°0'0"""
Timor Oriental,"S8°33'0"" E125°31'0.12"""
Togo,"N8°0'0"" E1°10'0.12"""
Tokelau,"S9°0'0"" O172°0'0"""
Tonga,"S20°0'0"" O175°0'0"""
Trinidad y Tobago,"N11°0'0"" O61°0'0"""
Túnez,"N34°0'0"" E9°0'0"""
Turkmenistán,"N40°0'0"" E60°0'0"""
Turquía,"N39°0'0"" E35°0'0"""
Tuvalu,"S8°0'0"" E178°0'0"""
Ucrania,"N49°0'0"" E32°0'0"""
Uganda,"N1°0'0"" E32°0'0"""
Uruguay,"S33°0'0"" O56°0'0"""
Uzbekistán,"N41°0'0"" E64°0'0"""
Vanuatu,"S16°0'0"" E167°0'0"""
Venezuela,"N8°0'0"" O66°0'0"""
Vietnam,"N16°0'0"" E106°0'0"""
Wallis y Futuna,"S13°18'0"" O176°12'0"""
Yemen,"N15°0'0"" E48°0'0"""
Yibuti,"N11°30'0"" E43°0'0"""
Zambia,"S15°0'0"" E30°0'0"""
Zimbabue,"S20°0'0"" E30°0'0"""
